,Product Name,Price,Timestamp
0,"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,46:39.8
1,"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,46:39.8
2,"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,46:39.8
3,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,46:39.8
4,"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,46:39.8
5,"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,46:39.8
6,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,46:39.8
7,"Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",899.99,46:39.8
8,"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,46:39.8
9,"Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,46:39.8
0,"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,00:41.5
1,"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,00:41.5
2,"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,00:41.5
3,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,00:41.5
4,"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,00:41.5
5,"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,00:41.5
6,"Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",899.99,00:41.5
7,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,00:41.5
8,"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,00:41.5
9,"50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F-CA, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",329.99,00:41.50,"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,2024-06-27 10:17:49.612592
1,"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,2024-06-27 10:17:49.612592
2,"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,2024-06-27 10:17:49.612592
3,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,2024-06-27 10:17:49.612592
4,"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,2024-06-27 10:17:49.612592
5,"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,2024-06-27 10:17:49.612592
6,"Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",899.99,2024-06-27 10:17:49.612592
7,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,2024-06-27 10:17:49.612592
8,"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,2024-06-27 10:17:49.612592
9,"50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F-CA, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",329.99,2024-06-27 10:17:49.612592
0,"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,2024-06-27 10:18:51.177370
1,"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,2024-06-27 10:18:51.177370
2,"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,2024-06-27 10:18:51.177370
3,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,2024-06-27 10:18:51.177370
4,"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,2024-06-27 10:18:51.177370
5,"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,2024-06-27 10:18:51.177370
6,"Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",899.99,2024-06-27 10:18:51.177370
7,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,2024-06-27 10:18:51.177370
8,"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,2024-06-27 10:18:51.177370
9,"50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F-CA, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",329.99,2024-06-27 10:18:51.177370
0,"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,2024-06-27 10:19:52.510493
1,"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,2024-06-27 10:19:52.510493
2,"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,2024-06-27 10:19:52.510493
3,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,2024-06-27 10:19:52.510493
4,"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,2024-06-27 10:19:52.510493
5,"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,2024-06-27 10:19:52.510493
6,"Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",899.99,2024-06-27 10:19:52.510493
7,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,2024-06-27 10:19:52.510493
8,"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,2024-06-27 10:19:52.510493
9,"50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F-CA, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",329.99,2024-06-27 10:19:52.510493
0,"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,2024-06-27 10:20:54.205154
1,"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,2024-06-27 10:20:54.205154
2,"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,2024-06-27 10:20:54.205154
3,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,2024-06-27 10:20:54.205154
4,"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,2024-06-27 10:20:54.205154
5,"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,2024-06-27 10:20:54.205154
