Product Name,Price,Timestamp
"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,2024-06-27 10:38:38.599093
"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,2024-06-27 10:38:38.599093
"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,2024-06-27 10:38:38.599093
"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,2024-06-27 10:38:38.599093
"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,2024-06-27 10:38:38.599093
"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,2024-06-27 10:38:38.599093
"Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",899.99,2024-06-27 10:38:38.599093
"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,2024-06-27 10:38:38.599093
"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,2024-06-27 10:38:38.599093
"50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F-CA, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",329.99,2024-06-27 10:38:38.599093
"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,2024-06-27 10:39:40.459187
"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,2024-06-27 10:39:40.459187
"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,2024-06-27 10:39:40.459187
"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,2024-06-27 10:39:40.459187
"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,2024-06-27 10:39:40.459187
"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,2024-06-27 10:39:40.459187
"Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",899.99,2024-06-27 10:39:40.459187
"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,2024-06-27 10:39:40.459187
"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,2024-06-27 10:39:40.459187
"50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F-CA, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",329.99,2024-06-27 10:39:40.459187
"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,2024-06-27 10:40:41.795014
"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,2024-06-27 10:40:41.795014
"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,2024-06-27 10:40:41.795014
"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,2024-06-27 10:40:41.795014
"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,2024-06-27 10:40:41.795014
"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,2024-06-27 10:40:41.795014
"Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",899.99,2024-06-27 10:40:41.795014
"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,2024-06-27 10:40:41.795014
"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,2024-06-27 10:40:41.795014
"50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F-CA, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",329.99,2024-06-27 10:40:41.795014
"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,2024-06-27 10:41:43.575114
"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,2024-06-27 10:41:43.575114
"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,2024-06-27 10:41:43.575114
"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,2024-06-27 10:41:43.575114
"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,2024-06-27 10:41:43.575114
"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,2024-06-27 10:41:43.575114
"Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",899.99,2024-06-27 10:41:43.575114
"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,2024-06-27 10:41:43.575114
"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,2024-06-27 10:41:43.575114
"50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F-CA, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",329.99,2024-06-27 10:41:43.575114
"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,2024-06-27 10:42:45.143123
"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,2024-06-27 10:42:45.143123
"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,2024-06-27 10:42:45.143123
"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,2024-06-27 10:42:45.143123
"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,2024-06-27 10:42:45.143123
"Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Local Dimming, Fire TV Ambient Experience, hands-free with Alexa",729.99,2024-06-27 10:42:45.143123
"Fire TV 65"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",899.99,2024-06-27 10:42:45.143123
"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",49.99,2024-06-27 10:42:45.143123
"Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",189.99,2024-06-27 10:42:45.143123
"50-Inch Class S4 4K LED Smart TV with Fire TV (50S450F-CA, 2023 Model), Dolby Vision HDR, Dolby Atmos, Alexa Built-in, Apple Airplay Compatibility, Streaming UHD Television, Black",329.99,2024-06-27 10:42:45.143123
"Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",229.99,2024-06-27 10:43:46.433366
"Fire TV 43"" 4-Series 4K UHD smart TV, stream live TV without cable",379.99,2024-06-27 10:43:46.433366
"Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & live TV",69.99,2024-06-27 10:43:46.433366
"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",59.99,2024-06-27 10:43:46.433366
"Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",79.99,2024-06-27 10:43:46.433366
